,weighted_avg,last_3_avg,career_avg,variance_cv,games_played,effective_games,effective_games_ratio,opp_def_rush_ypc,opp_def_rush_td_rate,success_rate_3wk,success_rate_season,red_zone_rate,usage_rate,is_home,is_dome,division_game,game_temp,game_wind,vegas_total,vegas_spread,team_avg_margin,team_rb_quality,opp_def_ppg_allowed,opp_def_ypg_allowed,team_plays_per_game,team_time_of_possession,is_on_injury_report,injury_status_score
weighted_avg,1.0,0.9647707575376663,0.7199725459860282,-0.41598193362162,0.5645640626626006,0.5233928935662824,0.02918726067835183,,,-0.2299129639550136,-0.21257947641193678,0.04368421440089646,,,,,,,,,-0.022265712014680257,,-0.22384118939465195,-0.22418350857978855,0.1750928493666874,-0.030195713745592136,0.13427666030394267,0.13427666030394267
last_3_avg,0.9647707575376663,1.0,0.666724088242293,-0.38443258755754117,0.5423352413746484,0.5002187752126361,0.025370764850364595,,,-0.19095969355759176,-0.19408702386386473,0.032781965712567404,,,,,,,,,-0.0191408129693889,,-0.21230510985136775,-0.21258959649749773,0.17873360454164341,-0.027877398043568587,0.1266490653528707,0.1266490653528707
career_avg,0.7199725459860282,0.666724088242293,1.0,-0.3420991604182259,0.4985650187494488,0.44681301154132624,0.012923865257721079,,,-0.21178553289145016,-0.24797443189638466,0.031322814004232424,,,,,,,,,-0.009668787161674939,,-0.19059897740921508,-0.19113735795619138,0.14151837263405684,-0.037127982511817904,0.06862005304485805,0.06862005304485805
variance_cv,-0.41598193362162,-0.38443258755754117,-0.3420991604182259,1.0,-0.08946175683436688,-0.10145213117707622,-0.033309783431882345,,,0.1690244368219743,0.17331719819306474,-0.02464538750937374,,,,,,,,,0.03314553665931533,,0.048889429080197964,0.04926346655701182,-0.0470888325887386,-0.00462613865874419,-0.04691754817409013,-0.04691754817409013
games_played,0.5645640626626006,0.5423352413746484,0.4985650187494488,-0.08946175683436688,1.0,0.875052636910414,-0.043662246973508366,,,-0.13179274176690314,-0.19109920607120828,0.02256035172207219,,,,,,,,,0.009633623776017137,,-0.1886941071159169,-0.1884212653542201,0.12886781821556587,-0.015621514459381878,0.10819156963573652,0.10819156963573652
effective_games,0.5233928935662824,0.5002187752126361,0.44681301154132624,-0.10145213117707622,0.875052636910414,1.0,0.3439717276487077,,,-0.0802957085017181,-0.1167976097318665,0.036705080922608664,,,,,,,,,0.0074833239211403646,,-0.1550749147935192,-0.15455392814385463,0.07146346074186402,-0.022457098742592968,0.21323779798062004,0.21323779798062004
effective_games_ratio,0.02918726067835183,0.025370764850364595,0.012923865257721079,-0.033309783431882345,-0.043662246973508366,0.3439717276487077,1.0,,,0.08626517694916788,0.12720354077450727,0.007990695780321551,,,,,,,,,-0.0002414244673745432,,0.11131714633735447,0.1119408926181919,-0.10936788539697094,0.009056553325289223,0.14061001049344776,0.14061001049344776
opp_def_rush_ypc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opp_def_rush_td_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
success_rate_3wk,-0.2299129639550136,-0.19095969355759176,-0.21178553289145016,0.1690244368219743,-0.13179274176690314,-0.0802957085017181,0.08626517694916788,,,1.0,0.6583328615030718,0.051020857511627354,,,,,,,,,0.0023525282594787046,,0.19905598344086226,0.19951453416458523,-0.13015345423314745,0.049270610450857844,-0.012767567670354581,-0.012767567670354581
success_rate_season,-0.21257947641193678,-0.19408702386386473,-0.24797443189638466,0.17331719819306474,-0.19109920607120828,-0.1167976097318665,0.12720354077450727,,,0.6583328615030718,1.0,0.09143906082124002,,,,,,,,,0.00577987093410303,,0.2822351497134494,0.2824175387559821,-0.176543633852267,0.07231978394066324,-0.012431407188809345,-0.012431407188809345
red_zone_rate,0.04368421440089646,0.032781965712567404,0.031322814004232424,-0.02464538750937374,0.02256035172207219,0.036705080922608664,0.007990695780321551,,,0.051020857511627354,0.09143906082124002,1.0,,,,,,,,,-0.005533137901424643,,-0.026576666377354875,-0.026416314160354774,0.04912743879715979,0.06540695855637617,0.009918886410130459,0.009918886410130459
usage_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,
division_game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game_temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game_wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegas_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegas_spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_avg_margin,-0.022265712014680257,-0.0191408129693889,-0.009668787161674939,0.03314553665931533,0.009633623776017137,0.0074833239211403646,-0.0002414244673745432,,,0.0023525282594787046,0.00577987093410303,-0.005533137901424643,,,,,,,,,1.0,,0.014345422407850524,0.014774173028325526,-0.025136743729737485,-0.002747854164156976,-0.0005660258852533435,-0.0005660258852533435
team_rb_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opp_def_ppg_allowed,-0.22384118939465195,-0.21230510985136775,-0.19059897740921508,0.048889429080197964,-0.1886941071159169,-0.1550749147935192,0.11131714633735447,,,0.19905598344086226,0.2822351497134494,-0.026576666377354875,,,,,,,,,0.014345422407850524,,1.0,0.9989288203745266,-0.6631718388690949,0.24697486582826736,-0.023522739032485203,-0.023522739032485203
opp_def_ypg_allowed,-0.22418350857978855,-0.21258959649749773,-0.19113735795619138,0.04926346655701182,-0.1884212653542201,-0.15455392814385463,0.1119408926181919,,,0.19951453416458523,0.2824175387559821,-0.026416314160354774,,,,,,,,,0.014774173028325526,,0.9989288203745266,1.0,-0.6659331706102118,0.24597121100310848,-0.02328207534881189,-0.02328207534881189
team_plays_per_game,0.1750928493666874,0.17873360454164341,0.14151837263405684,-0.0470888325887386,0.12886781821556587,0.07146346074186402,-0.10936788539697094,,,-0.13015345423314745,-0.176543633852267,0.04912743879715979,,,,,,,,,-0.025136743729737485,,-0.6631718388690949,-0.6659331706102118,1.0,0.20872022696739517,-0.004026610799022441,-0.004026610799022441
team_time_of_possession,-0.030195713745592136,-0.027877398043568587,-0.037127982511817904,-0.00462613865874419,-0.015621514459381878,-0.022457098742592968,0.009056553325289223,,,0.049270610450857844,0.07231978394066324,0.06540695855637617,,,,,,,,,-0.002747854164156976,,0.24697486582826736,0.24597121100310848,0.20872022696739517,1.0,-0.010176663076783282,-0.010176663076783282
is_on_injury_report,0.13427666030394267,0.1266490653528707,0.06862005304485805,-0.04691754817409013,0.10819156963573652,0.21323779798062004,0.14061001049344776,,,-0.012767567670354581,-0.012431407188809345,0.009918886410130459,,,,,,,,,-0.0005660258852533435,,-0.023522739032485203,-0.02328207534881189,-0.004026610799022441,-0.010176663076783282,1.0,1.0
injury_status_score,0.13427666030394267,0.1266490653528707,0.06862005304485805,-0.04691754817409013,0.10819156963573652,0.21323779798062004,0.14061001049344776,,,-0.012767567670354581,-0.012431407188809345,0.009918886410130459,,,,,,,,,-0.0005660258852533435,,-0.023522739032485203,-0.02328207534881189,-0.004026610799022441,-0.010176663076783282,1.0,1.0
